City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,Miraflores,MX,19.2167,-98.8083,64.4,36,1,5.59,clear sky
238,Clearwater,US,27.9659,-82.8001,73.0,40,40,3.44,scattered clouds
239,Kurilsk,RU,45.2333,147.8833,29.91,81,100,8.37,overcast clouds
240,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.2,80,75,4.47,broken clouds
241,Miramar,US,25.9873,-80.2323,75.2,38,40,21.85,scattered clouds
242,Bambous Virieux,MU,-20.3428,57.7575,82.0,74,15,8.01,few clouds
243,Hasaki,JP,35.7333,140.8333,63.0,100,75,8.05,broken clouds
244,Qaqortoq,GL,60.7167,-46.0333,39.2,87,90,8.05,overcast clouds
245,Harlingen,US,26.1906,-97.6961,78.01,64,75,13.8,broken clouds
246,Kyren,RU,51.6828,102.1408,33.96,93,54,1.57,light snow
247,Rawson,AR,-43.3002,-65.1023,83.59,25,23,21.03,few clouds
248,Gobabis,NA,-22.45,18.9667,77.5,31,6,8.9,clear sky
249,Kieta,PG,-6.2167,155.6333,78.22,82,95,4.23,light rain
250,College,US,64.8569,-147.8028,33.8,86,90,3.44,moderate rain
251,Ous,RU,60.9058,61.5186,33.22,98,100,4.21,overcast clouds
252,Tambacounda,SN,13.7539,-13.7586,107.6,37,0,6.91,clear sky
253,Norman Wells,CA,65.282,-126.8329,3.2,72,20,9.22,few clouds
254,Aswan,EG,24.0934,32.907,77.23,6,0,11.32,clear sky
255,Turukhansk,RU,65.8167,87.9833,22.32,94,100,18.63,light snow
256,Quatre Cocos,MU,-20.2078,57.7625,82.0,74,14,8.01,few clouds
257,Luwuk,ID,-0.9516,122.7875,77.99,81,100,4.25,overcast clouds
258,Salamanca,ES,40.8333,-6.0,64.99,12,3,11.03,clear sky
259,Rorvik,NO,64.8621,11.2373,32.0,100,90,19.57,rain and snow
260,Bani,DO,18.2833,-70.3333,86.0,70,40,12.15,scattered clouds
261,Mehamn,NO,71.0357,27.8492,33.8,86,90,13.8,light snow
262,Anadyr,RU,64.75,177.4833,-9.4,77,0,6.71,clear sky
263,Grindavik,IS,63.8424,-22.4338,23.0,50,75,23.02,broken clouds
264,Keene,US,42.9337,-72.2781,52.0,25,40,5.75,scattered clouds
265,Klaksvik,FO,62.2266,-6.589,24.8,54,75,43.73,light snow
266,Orange Cove,US,36.6244,-119.3137,57.99,66,1,3.36,clear sky
267,Juruti,BR,-2.1522,-56.0922,89.71,53,89,5.73,overcast clouds
268,Maues,BR,-3.3836,-57.7186,92.07,46,99,5.39,overcast clouds
269,Banda Aceh,ID,5.5577,95.3222,80.26,78,92,7.67,overcast clouds
270,Yakeshi,CN,49.2833,120.7333,37.53,50,63,14.14,broken clouds
271,Bereda,ES,43.2686,-7.5406,60.01,68,6,14.0,clear sky
272,Grand Gaube,MU,-20.0064,57.6608,82.0,74,3,8.01,clear sky
273,Umm Kaddadah,SD,13.6017,26.6876,82.58,10,24,13.0,few clouds
274,Naze,JP,28.3667,129.4833,61.83,77,100,15.55,overcast clouds
275,Monrovia,LR,6.3005,-10.7969,89.6,66,75,11.5,broken clouds
276,Kahului,US,20.8947,-156.47,69.8,94,90,12.66,overcast clouds
277,Pachino,IT,36.7186,15.0907,60.8,82,75,8.05,broken clouds
278,Balkhash,KZ,46.844,74.9804,44.24,53,100,11.34,overcast clouds
279,Fort Smith,US,35.3859,-94.3986,70.0,51,20,3.44,smoke
280,Jumla,NP,29.2747,82.1838,44.76,23,16,4.43,few clouds
281,Altoona,US,40.5187,-78.3947,62.01,40,4,5.99,clear sky
282,Bikin,RU,46.8161,134.26,32.74,57,3,5.73,clear sky
283,Bubaque,GW,11.2833,-15.8333,75.38,72,93,13.06,overcast clouds
284,Richards Bay,ZA,-28.783,32.0377,66.9,73,0,4.76,clear sky
285,Ambon,ID,-3.6954,128.1814,80.6,83,40,8.05,scattered clouds
286,Grand-Santi,GF,4.25,-54.3833,82.54,79,100,3.51,overcast clouds
287,Tabu,PH,9.8923,122.7098,74.68,78,81,2.93,broken clouds
288,Shenzhen,CN,22.5455,114.0683,78.01,96,85,7.0,overcast clouds
289,Victoria,HK,22.2855,114.1577,73.99,90,96,17.72,overcast clouds
290,Kokkinokhoma,GR,40.9333,24.3,53.6,82,75,11.5,broken clouds
291,Mascote,BR,-15.5631,-39.3025,87.8,70,75,3.44,broken clouds
292,Honningsvag,NO,70.9821,25.9704,33.8,80,20,4.61,few clouds
293,Tigil,RU,57.8,158.6667,24.57,89,100,10.04,overcast clouds
294,Athabasca,CA,54.7169,-113.2854,37.4,93,100,8.05,overcast clouds
295,San Patricio,US,28.017,-97.5169,77.0,68,90,10.36,overcast clouds
296,Neuquen,AR,-38.9516,-68.0591,78.8,53,0,3.44,clear sky
297,Luganville,VU,-15.5333,167.1667,78.33,88,100,11.92,overcast clouds
298,Banjar,ID,-8.19,114.9675,82.4,83,20,2.3,few clouds
299,Te Anau,NZ,-45.4167,167.7167,54.48,75,30,11.65,scattered clouds
300,Esna,EG,25.2934,32.554,84.2,17,0,2.3,clear sky
